good_id,good,first_course,main_course,drink,bakery,dessert,snacks,salad,meat&fish
118.0,Рис отварной 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
119.0,Капуста цветная Гратен 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
120.0,Суп-пюре из брокколи 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
121.0,Рыба отв/овощи на пару 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
122.0,Кейк из трески/с.коктейль 120/30гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
123.0,С-т из огур/помидор/морк/масло 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
124.0,С-т из огур/помидор/перец/масло 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
125.0,Помидоры Провансаль 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
126.0,Рассольник по-старорусски/овощи 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
127.0,Компот из винограда/мяты 200гр,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0
128.0,Бефстроганов из говядины 75/50гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
129.0,С-т из перца/брынзы/масла 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
130.0,Цыпленок/овощи/с.терияки 100/40гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
131.0,Студень мясной 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
132.0,Котлета Московская 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
133.0,С-т Оливье/колбаса/майонез 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
134.0,Кур.филе отварное/овощи 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
135.0,Рулет из курицы/сыр 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
136.0,С-т из кур.карри/сельдерей/гр.орех 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
