good_id,good
289,Напиток из шиповника/без сахара 200гр
290,Суп-пюре из брокколи/пост 250гр
291,Солянка мясная/копчености/окорок 250гр
292,Брокколи/миндаль/чили на пару 150гр
293,С-т из баклажан/перец/кинза 120гр
294,Суп-пюре из овощей с/м/пост 250гр
295,КусКус с овощами 150гр
296,Рагу по-молдавски/пост 200гр
297,С-т Садовый 120гр
298,Суп-пюре томатный/пост 250гр
299,Суп гороховый/мясо 250гр
300,Салат бар/доп.ассортимент 1кг
301,Напиток Каркаде/без сахара 200гр
302,Свекла/зелень/масло 120гр
303,С-т Романо/ананас/переп.яйцо/запр 120 гр
304,Перловка с грибами 150гр
305,Напиток цитрусовый 200гр
306,Плов с овощами 200гр
307,С-т айсберг/редис/огур/дом.запра 120гр
308,Котлета овощная 1шт в асс
309,Кабачки туш/грибы 200гр
310,Соте из овощей 120гр
311,Картофель с кр.паприкой 150гр
312,Плов Весенний 200гр
313,С-т Пушкин с опятами 120гр
314,Лобио 120гр
315,С-т Чука/рисовая лапша 120гр
316,Котлета мясная/с.сливочн/кинза 100/20гр
317,Шницель рыбный/натуральный 100гр
318,Рагу овощное 150гр
319,Перец болгарский/овощи 200гр
320,Рулет из индейки/шпинат/с.сливоч100/20гр
321,С-т из белой фасоли/перец/масло 120гр
322,Сельдь Нисуаз 120гр
323,Жаркое из овощей 200гр
324,Говядина отварная 75гр
325,Пельмени со сметаной 200/20гр
326,С-т из свежих овощей 120гр
327,С-т из ветч/грибы/ябл/сельдерей 120гр
328,Морковь/ананас/йогурт 120гр
329,Суп овощной/Павлодарский 250гр
330,С-т из помидор/зелень/масло 120гр
331,Кабачки с кур.печенью/кунж.масло 120гр
332,Рыба по-монастырски 80/30гр
333,Кур.филе с помидор/базилик 80/40гр
334,Напиток яблочно-клюквенный/без сах 200гр
335,Рыба жар/лимон 80/20гр
336,Фасоль с томатом/кинза 150гр
337,Суп гречневый/грибы 250гр
338,С-т Оливье/курица/майонез 120гр
339,Плов из курицы 200гр
340,Кур.филе/с.тайский/овощи 130гр
341,Компот из мандарин 200гр
342,Солянка овощная 250гр
343,Перец болгарский гриль/с.йогурт 150/20гр
344,Котлета из индейки/булгур/брынза 100гр
345,Карри желтый/тыква/рис 200гр
346,С-т Оливье/морская кап/маслины 120гр
347,Мелиндзасалата 120гр
348,Бифштекс куриный 100гр
349,Рассольник Васнецовский/грибы/пост 250гр
350,Индейка филе отварная 80гр
351,Кур.филе с помидором 80/20гр
352,Тепаньяки с овощами/вешенки 200гр
353,Плов из говядины 200гр
354,Кабачки гриль 150гр
355,Кабачки жар/овощи 150гр
356,Фасоль Лима/с.сальса 150 гр
357,Бургер из свинины 120гр
358,Напиток цитрусовый/без сахара 200гр
359,Крабовый мусс/крутоны 120 гр
360,Напиток яблочно-апельсиновый б/сах 200гр
361,Гуляш из говядины 75/50гр
362,С-т айсберг/помидор/масло 120гр
363,Баклажаны с овощами/чеснок 150гр
364,Суп картофельный/грибы 250гр
365,Свинина Бризоль 80/20гр
366,Гречка с грибами 150гр
367,Гречневая лапша/цуккини/дайкон/пер 200гр
368,Поджарка из свинины 75/25гр
369,Фрикассе из кур 75/50гр
370,Свинина/помидор 80/20гр
371,С-т из кваш.капусты 120гр
372,Капуста туш/грибы 150гр
373,Щи из св.кап/помидор 250гр
374,Окунь/тимьян/пергамент/на пару 80гр
375,Суп щавелевый/мясо 250гр
376,С-т из помидор/зелень/льненое масло100гр
377,Лапша Удон/овощи 150гр
378,Кур.окорочка/б/кож/семена льна/пар125/5
379,Говядина туш/морковь беби 75/50гр
380,Медальоны куриные Карри 100гр
381,Кур.филе гриль/без масла/шпинат 80/20гр
382,Кур.окорочка жар/с.майонез 125гр
383,С-т Столичный/кур/майонез 120гр
384,Кур.филе с болг.перцем 80/20гр
385,С-т Мимоза 120гр
386,Пилита из индейки 100/20гр
387,Киноа с морковью/кабачки/перец 150гр
388,Брокколи на пару/с.кокосовый 150гр
389,Борани из овощей 150гр
390,Фасоль стручк/овощи 150гр
391,Гаспачо холодный 250гр
392,Индейка/припущ.овощи/грибы 80/20гр
393,Оладьи из печени 100/20гр
394,С-т из моркови/кур.филе/яблоки 100гр
395,Чахохбили из кур 75/50гр
396,Гуляш по-испански/индейка 75/50гр
397,Чечевица с овощами/томатами 150гр
398,С-т из б/к/огурец 120гр
399,Щи из св.кап/треска/с.овощной 250гр
400,Детокс вода/огур/лимон/баз 200гр
401,Ананас дольки 1кг СБ
402,Кур.печень/сливки/чили 100/40гр
403,Картофель/ассорти из грибов 150гр
404,Картофель по-шведски/сыр 150 гр
405,Рис по-венгерски 150гр
406,С-т Панагюрский 120гр
407,С-т айсберг/ветчина/вял.томаты 120гр
408,Сациви из курицы 120гр
409,Картофель Юкатан 150гр
410,Уха с расстегаями 250гр
411,Рыба жар/лук порей 80/40гр
412,Щи из щавеля с кап б/к и курицей 250гр
413,С-т из краб.пал/огур/соус 120 гр
414,Окрошка сборная мясная/кефир 250гр
415,С-т Цезарь Шведский/бекон 120гр
416,Рыба по-ленинградски 80/20гр
417,С-т из помидор/базилик/масло 120гр
418,С-т из кальмар/огурцы/заправка 120гр
419,Бифштекс с помидором 100/20гр
420,Харчо из баранины 250гр
421,С-т с треской/микс/черри/заправка 120гр
422,Утиная ножка/медовая глазурь 125гр
423,Суп-пюре из кабачков/сельдерея 250гр
424,Компот из св.груш/без сахара 200гр
425,Рассольник по-старорусски/курица 250гр
426,Борщ Украинский/рулька/пампушки 250гр
427,Сельдь с печеной свеклой 120гр
428,Котлеты по-киевски 150гр
429,Лимонад вишневый 200гр
430,Свиная корейка с томат.сальсой 80/20гр
431,Гречка с жар.луком 150гр
432,Морковь/дайкон/огурец/масло 120гр
433,Карпаччо из помидор/хруст.баклажан 120гр
434,Окрошка с колбасой/квас 250гр
435,Борщ Сибирский/мясо 250гр
436,Рыба жар/яйцо/кунжут/с.терияки 120/20/10
437,Лимонад грушевый 200гр
438,Пирог Осетинский/картоф/щавель 1кусок
439,Свиная отбивная/с.барбекю 80/15гр
440,Борщ Кубанский/овощной 250гр
441,Детокс вода/клубника 200гр
442,Суп Брамборочка 250гр
443,Рассольник рыбный/булгур 250гр
444,С-т из кур/грибы/корнишоны 120гр
445,Свекла/курага/майонез 120гр
446,С-т из б/к/огур/редис/масло 120гр
447,С-т Весна/сметана 120гр
448,Сельдь по-деревенски 120гр
449,Рыба по-днепровски 80/20гр
450,С-т из б/к/свекла 120гр
451,Кабачки жареные 150гр
452,С-т Оливье/креветки/заправка 120гр
453,Картофель с укропом 150гр
